rank,strategy,net_usd,credibility,basis
73,F07-04-pt-sy-maturity-arb,143.59,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
74,F12-05-aura-reth-weth-hiddenhand,112.61,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
75,F15-03-eigen-withdrawal-queue-secondary,79.92,OVERSTATED,"modeled-injection+position-equity-credit"
76,F15-04-native-eigen-symbiotic-dualstack,76.63,OVERSTATED,"position-equity-credit"
77,F10-05-gho-curve-convex-3mech-boost,69.22,OVERSTATED,"position-equity-credit"
78,F09-02-susde-dai-morpho-flashloop,61.19,OVERSTATED,"position-equity-credit+deal-funded"
79,F02-05-rseth-karak-pendle-yt-morpho,56.56,OVERSTATED,"modeled-injection+position-equity-credit"
80,F01-01-wsteth-aave-emode-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
81,F01-02-wsteth-morpho-flashloan-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
82,F01-04-cbeth-aave-emode-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
83,F01-05-sfrxeth-fraxlend-frax-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
84,F01-06-wsteth-compound-v3-weth-comet,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
85,F01-08-wsteth-aave-pendle-pt-hedge,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
86,F02-01-weeth-morpho-flashloop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
87,F02-02-ezeth-pendle-yt-points,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
88,F02-03-pufeth-symbiotic-restack,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
89,F02-04-weeth-aave-emode-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
90,F02-06-pufeth-symbiotic-aave-emode-triple,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
91,F02-07-weeth-pendle-pt-yt-split-flashloop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
92,F02-08-weeth-fluid-smart-collateral-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
93,F04-01-dssflash-psm-curve-3pool-depeg,50.00,OVERSTATED,"modeled-injection+position-equity-credit+deal-funded"
94,F04-07-dssflash-lusd-liquity-redemption-curve,50.00,OVERSTATED,"modeled-injection+position-equity-credit+deal-funded"
95,F06-01-lusd-redemption-arb-flashmint,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
96,F06-05-bold-collateral-registry-redemption-flash,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
97,F06-07-lusd-gho-crvusd-triangle,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
98,F06-08-bold-sp-mint-recycle,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
99,F09-06-rseth-morpho-flashloop-curve,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
100,F11-01-comet-usdc-weth-leverage-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
101,F11-02-fluid-wsteth-eth-smart-collateral-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
102,F11-03-euler-evc-batch-rate-arb,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
103,F11-04-cross-mm-comet-aave-usdc-supply-arb,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
104,F11-07-fluid-wsteth-usdc-dssflash-bootstrap,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
105,F11-08-euler-cross-vault-usdc-rate-sniffer,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
106,F12-01-convex-frxeth-boost-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
107,F12-04-curve-gauge-weight-vote-snipe,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
108,F12-07-convex-frxeth-fxs-compound,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
109,F12-08-hiddenhand-multi-protocol-bribe,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
110,F13-03-balancer-boosted-aave-stable-lp,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
111,F13-04-univ3-wsteth-weth-narrow-lp,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
112,F13-07-univ3-usdc-weth-flash-balancer-curve-peg-arb,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
113,F13-08-balancer-wsteth-bpt-aura-stake,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
114,F14-04-atomic-oracle-update-sandwich,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
115,F14-07-synthetix-v3-vault-research-probe,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
116,F15-07-karak-multi-lrt-basket-vault,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
117,F16-07-five-stable-cross-cdp-basis-scan,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
118,F17-06-oeth-redeem-aave-emode-loop,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
119,F17-07-syrupUSDC-morpho-pendle-hedge,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
120,F17-08-usdm-crvusd-llamma-amplified-carry,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
121,F18-01-dssflash-crvusd-pegkeeper-arb,50.00,OVERSTATED,"modeled-injection+position-equity-credit"
122,F12-06-penpie-pendle-pt-weeth-hiddenhand,46.25,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
123,F11-06-comet-eth-lido-wsteth-loop,35.08,OVERSTATED,"position-equity-credit"
124,F13-05-univ3-wsteth-jit-lp-backrun,11.86,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
125,F07-01-pt-susde-morpho-loop,1.00,OVERSTATED,"position-equity-credit"
126,F12-03-convex-steth-triple-reward,0.05,CREDIBLE,"real-tracked-gain (arb/reward/real-swap)"
127,F10-08-aave-isolation-mode-farm,0.00,OVERSTATED,"position-equity-credit"
